"","Site.Name","month","year","mean_ozone","mean_PM2.5"
"160","Pitt Agri. Center",5,2019,47.7741935483871,NA
"161","Pitt Agri. Center",6,2018,48.5666666666667,37.6
"162","Pitt Agri. Center",6,2019,46.9333333333333,32.3833333333333
"163","Pitt Agri. Center",7,2018,40.8709677419355,31.7903225806452
"164","Pitt Agri. Center",7,2019,43.5806451612903,38.4838709677419
"165","Pitt Agri. Center",8,2018,36.0967741935484,34.4193548387097
"166","Pitt Agri. Center",8,2019,37.8387096774194,NA
"167","Pitt Agri. Center",9,2019,37.625,NA
"168","West Johnston Co.",3,2018,41.0967741935484,32.8387096774194
"169","West Johnston Co.",3,2019,42.2903225806452,NA
"170","West Johnston Co.",4,2018,48.0333333333333,34.9666666666667
"171","West Johnston Co.",4,2019,43.3666666666667,29.3
"172","West Johnston Co.",5,2018,38.8387096774194,32.7741935483871
"173","West Johnston Co.",5,2019,45.7741935483871,NA
"174","West Johnston Co.",6,2018,49.6666666666667,42.8333333333333
"175","West Johnston Co.",6,2019,44.0666666666667,39.6333333333333
"176","West Johnston Co.",7,2018,42.2903225806452,35.6774193548387
"177","West Johnston Co.",7,2019,44.4193548387097,43.8709677419355
"178","West Johnston Co.",8,2018,34.6129032258064,NA
"179","West Johnston Co.",8,2019,38.9032258064516,34.6451612903226
"180","West Johnston Co.",9,2019,40.1071428571429,NA
"181","West Johnston Co.",10,2018,33.1724137931034,NA
"182","West Johnston Co.",10,2019,34.0967741935484,27.6774193548387
